service_id,date,exception_type
JANV2026-B-Semaine-10-B,20260218,2
JANV2026-B-Semaine-10-B,20260219,2
JANV2026-B-Semaine-10-B,20260220,2
JANV2026-B-Semaine-10-B,20260223,2
JANV2026-B-Semaine-10-B,20260224,2
JANV2026-B-Semaine-10-B,20260225,2
JANV2026-B-Semaine-10-B,20260226,2
JANV2026-B-Semaine-10-B,20260227,2
JANV2026-B-Semaine-10-B,20260302,2
JANV2026-B-Semaine-10-B,20260303,2
JANV2026-B-Semaine-10-B,20260304,2
JANV2026-B-Semaine-10-B,20260305,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260110,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260117,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260124,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260131,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260207,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260214,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260217,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260218,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260219,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260220,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260221,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260224,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260225,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260226,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260227,2
chouette:TimeTable:f3521a8c-7035-4faf-8457-ce080d9f2634:LOC,20260228,2
PROJET2024-ISO-Samedi-04-ISO,20260221,2
PROJET2024-ISO-Samedi-04-ISO,20260228,2
JANV2026-L1-Semaine-08-L1,20260112,2
JANV2026-L1-Semaine-08-L1,20260113,2
JANV2026-L1-Semaine-08-L1,20260114,2
JANV2026-L1-Semaine-08-L1,20260115,2
JANV2026-L1-Semaine-08-L1,20260119,2
JANV2026-L1-Semaine-08-L1,20260120,2
JANV2026-L1-Semaine-08-L1,20260121,2
JANV2026-L1-Semaine-08-L1,20260122,2
JANV2026-L1-Semaine-08-L1,20260126,2
JANV2026-L1-Semaine-08-L1,20260127,2
JANV2026-L1-Semaine-08-L1,20260128,2
JANV2026-L1-Semaine-08-L1,20260129,2
JANV2026-L1-Semaine-08-L1,20260202,2
JANV2026-L1-Semaine-08-L1,20260203,2
JANV2026-L1-Semaine-08-L1,20260204,2
JANV2026-L1-Semaine-08-L1,20260205,2
JANV2026-L1-Semaine-08-L1,20260209,2
JANV2026-L1-Semaine-08-L1,20260210,2
JANV2026-L1-Semaine-08-L1,20260211,2
JANV2026-L1-Semaine-08-L1,20260212,2
